# Disk parameters
# M_d/e10M_sun    4.9607
#    Disk M/L     1.0000
# Bulge included
# M_b/e10M_sun    1.3733
#   Bulge M/L     1.0000
# Gas included
# M_g/e10M_sun    1.6318
# Einasto halo parameters
#  M_*/e10M_sun   45.2147
#     r_s/1~kpc   19.3347
# concentration    5.2665
#   v_200/1km/s   71.2790
# M_200/e10Msun   11.4988
# alpha    2.7500
#+++++++++++++++
#   Rkpc      V_uh       V_b      V_ch     V_tot     r2rho       V_disk     V_gas   V_bulge
#
    43.750   106.478    89.062   106.640   138.939   0.376E-11    69.982    42.074    35.560
    44.000   106.182    88.786   106.336   138.529   0.246E-11    69.777    41.915    35.459
    44.250   105.888    88.512   106.035   138.123   0.160E-11    69.574    41.757    35.358
    44.500   105.596    88.241   105.736   137.720   0.104E-11    69.373    41.602    35.259
    44.750   105.306    87.973   105.441   137.320   0.672E-12    69.174    41.448    35.160
    45.000   105.017    87.707   105.147   136.925   0.432E-12    68.977    41.295    35.062
    45.250   104.731    87.443   104.856   136.533   0.277E-12    68.781    41.145    34.965
    45.500   104.447    87.182   104.568   136.144   0.176E-12    68.587    40.996    34.869
    45.750   104.165    86.923   104.282   135.759   0.112E-12    68.395    40.848    34.773
    46.000   103.884    86.667   103.999   135.377   0.707E-13    68.204    40.702    34.679
    46.250   103.606    86.413   103.718   134.998   0.444E-13    68.016    40.558    34.585
    46.500   103.329    86.161   103.439   134.623   0.278E-13    67.828    40.416    34.492
    46.750   103.055    85.912   103.162   134.251   0.173E-13    67.643    40.275    34.400
    47.000   102.782    85.665   102.886   133.881   0.107E-13    67.459    40.135    34.308
    47.250   102.512    85.421   102.612   133.514   0.662E-14    67.276    39.997    34.217
    47.500   102.243    85.178   102.341   133.150   0.406E-14    67.095    39.861    34.127
    47.750   101.977    84.938   102.072   132.790   0.248E-14    66.916    39.726    34.038
    48.000   101.712    84.700   101.806   132.433   0.151E-14    66.738    39.593    33.949
    48.250   101.449    84.464   101.542   132.079   0.913E-15    66.561    39.461    33.861
    48.500   101.188    84.230   101.280   131.728   0.549E-15    66.386    39.331    33.774
    48.750   100.930    83.998   101.020   131.380   0.329E-15    66.212    39.202    33.688
    49.000   100.672    83.769   100.763   131.036   0.196E-15    66.040    39.075    33.602
    49.250   100.417    83.541   100.507   130.694   0.116E-15    65.869    38.949    33.516
    49.500   100.164    83.315   100.254   130.354   0.684E-16    65.700    38.824    33.432
    49.750    99.913    83.092   100.002   130.018   0.401E-16    65.531    38.701    33.348
    50.000    99.663    82.870    99.752   129.684   0.234E-16    65.365    38.580    33.265
    50.250    99.415    82.650    99.504   129.353   0.136E-16    65.199    38.460    33.182
    50.500    99.169    82.432    99.257   129.024   0.783E-17    65.034    38.341    33.100
    50.750    98.925    82.216    99.013   128.698   0.449E-17    64.871    38.224    33.018
    51.000    98.682    82.002    98.770   128.374   0.257E-17    64.709    38.108    32.937
    51.250    98.442    81.790    98.528   128.052   0.146E-17    64.548    37.994    32.857
    51.500    98.203    81.579    98.289   127.734   0.825E-18    64.389    37.881    32.777
    51.750    97.965    81.370    98.051   127.417   0.464E-18    64.230    37.769    32.698
    52.000    97.730    81.163    97.815   127.103   0.260E-18    64.073    37.658    32.619
    52.250    97.496    80.958    97.580   126.791   0.145E-18    63.916    37.549    32.541
    52.500    97.263    80.754    97.347   126.482   0.805E-19    63.761    37.441    32.464
    52.750    97.033    80.552    97.116   126.175   0.444E-19    63.607    37.334    32.387
    53.000    96.804    80.352    96.886   125.870   0.244E-19    63.455    37.229    32.310
    53.250    96.576    80.153    96.658   125.568   0.133E-19    63.303    37.125    32.234
    53.500    96.350    79.956    96.432   125.268   0.727E-20    63.152    37.022    32.159
    53.750    96.126    79.760    96.207   124.970   0.394E-20    63.002    36.920    32.084
    54.000    95.903    79.567    95.984   124.675   0.213E-20    62.854    36.819    32.009
    54.250    95.682    79.374    95.763   124.382   0.114E-20    62.706    36.719    31.935
    54.500    95.463    79.183    95.544   124.091   0.612E-21    62.560    36.620    31.862
    54.750    95.244    78.994    95.326   123.803   0.326E-21    62.415    36.523    31.789
    55.000    95.028    78.806    95.110   123.516   0.173E-21    62.270    36.426    31.717
    55.250    94.813    78.620    94.894   123.232   0.914E-22    62.127    36.331    31.645
    55.500    94.599    78.435    94.680   122.948   0.480E-22    61.984    36.236    31.574
    55.750    94.386    78.252    94.466   122.667   0.251E-22    61.843    36.143    31.503
    56.000    94.176    78.069    94.255   122.388   0.131E-22    61.703    36.050    31.432
    56.250    93.966    77.889    94.045   122.111   0.674E-23    61.563    35.959    31.362
    56.500    93.758    77.709    93.837   121.837   0.347E-23    61.425    35.868    31.293
    56.750    93.551    77.531    93.631   121.564   0.177E-23    61.287    35.778    31.224
    57.000    93.346    77.355    93.426   121.294   0.899E-24    61.151    35.689    31.155
    57.250    93.142    77.180    93.222   121.025   0.452E-24    61.015    35.601    31.087
    57.500    92.939    77.005    93.020   120.758   0.227E-24    60.880    35.513    31.020
    57.750    92.738    76.833    92.819   120.493   0.112E-24    60.747    35.427    30.952
    58.000    92.538    76.661    92.619   120.230   0.555E-25    60.614    35.341    30.886
    58.250    92.339    76.491    92.420   119.968   0.272E-25    60.482    35.256    30.819
    58.500    92.141    76.322    92.222   119.707   0.132E-25    60.350    35.172    30.753
    58.750    91.945    76.154    92.025   119.449   0.637E-26    60.220    35.088    30.688
    59.000    91.750    75.987    91.830   119.192   0.305E-26    60.091    35.005    30.623
    59.250    91.556    75.821    91.636   118.937   0.145E-26    59.962    34.923    30.558
    59.500    91.364    75.657    91.443   118.683   0.683E-27    59.834    34.841    30.494
    59.750    91.172    75.493    91.251   118.431   0.320E-27    59.707    34.760    30.430
    60.000    90.982    75.331    91.061   118.181   0.148E-27    59.581    34.680    30.367
    60.250    90.793    75.170    90.871   117.932   0.683E-28    59.456    34.600    30.304
    60.500    90.606    75.009    90.682   117.685   0.312E-28    59.331    34.521    30.241
    60.750    90.419    74.850    90.495   117.439   0.141E-28    59.207    34.442    30.179
    61.000    90.233    74.692    90.309   117.195   0.636E-29    59.084    34.364    30.117
    61.250    90.049    74.534    90.125   116.952   0.284E-29    58.962    34.286    30.055
    61.500    89.866    74.378    89.941   116.711   0.126E-29    58.840    34.209    29.994
    61.750    89.684    74.223    89.759   116.472   0.558E-30    58.720    34.132    29.933
    62.000    89.503    74.068    89.579   116.234   0.245E-30    58.600    34.056    29.873
    62.250    89.323    73.915    89.399   115.998   0.107E-30    58.480    33.980    29.813
    62.500    89.144    73.762    89.220   115.763   0.465E-31    58.362    33.905    29.753
    62.750    88.966    73.611    89.042   115.529   0.201E-31    58.244    33.830    29.694
    63.000    88.790    73.460    88.865   115.297   0.868E-32    58.127    33.756    29.635
    63.250    88.614    73.310    88.690   115.066   0.373E-32    58.010    33.682    29.576
    63.500    88.439    73.161    88.515   114.837   0.160E-32    57.895    33.608    29.518
    63.750    88.266    73.013    88.342   114.609   0.682E-33    57.780    33.535    29.460
